,t,x,y,vx,vy,s
13357,1652.169375,465000,-859500,-103.26766967773438,-71.55130767822266,1529.3663330078125
13358,1589.3628571428574,465000,-861500,-104.38336944580078,-74.9318618774414,1529.623046875
13359,1486.9233333333334,465000,-866500,-106.37332153320312,-79.64401245117188,1506.8472900390625
13360,1445.1145454545456,465000,-867000,-108.2462158203125,-79.06334686279297,1499.8414306640625
13361,1385.8531578947368,465000,-867500,-110.38771057128906,-78.11075592041016,1489.1273193359375
13362,1387.9542857142858,465000,-868000,-112.95528411865234,-76.1750717163086,1476.8245849609375
13363,1799.586,465000,-869500,-120.49468994140624,-64.43140411376953,1446.86328125
13364,1658.8115384615385,465000,-872500,-117.4658660888672,-51.19412612915039,1464.6282958984375
13365,1618.199,465000,-873000,-116.86125946044922,-51.39176177978516,1467.6995849609375
13366,1346.4645,465000,-874500,-117.7972640991211,-54.49685287475586,1459.1513671875
13367,1371.085,465000,-876500,-119.19957733154295,-55.34629440307617,1431.5234375
13368,1309.942,465000,-877000,-119.89878845214844,-55.486236572265625,1427.441162109375
13369,1236.4672727272728,465000,-877500,-120.74483489990234,-55.80561828613281,1419.2818603515625
13370,1231.59,465000,-878000,-121.3731460571289,-55.9686164855957,1405.9893798828125
13371,1249.308947368421,465000,-879000,-123.69701385498048,-50.689056396484375,1370.907470703125
13372,1223.5709090909093,465000,-880000,-126.74398040771484,-45.13991165161133,1358.5865478515625
13373,1245.555,465000,-880500,-128.3061981201172,-43.62771987915039,1363.5782470703125
13374,1394.288947368421,465000,-882500,-133.11741638183594,-42.44758605957031,1388.3426513671875
13375,1512.5890909090908,465000,-885500,-141.13458251953125,-40.33626174926758,1371.8919677734375
13376,1578.445,465000,-886000,-141.92689514160156,-39.56435012817383,1372.36279296875
13377,1387.5410526315789,465000,-889000,-139.0659637451172,-43.070831298828125,1395.05419921875
13378,1631.3458333333335,465000,-896000,-142.97213745117188,-43.83761596679688,1345.5888671875
13379,1618.57125,465000,-896500,-144.2664337158203,-41.866397857666016,1344.529052734375
13380,1382.0822727272728,465000,-903000,-158.4705810546875,-25.843652725219727,1377.77392578125
13381,1434.881666666667,465000,-903500,-160.47564697265625,-26.343843460083008,1379.310302734375
13382,1389.7563636363636,465000,-904000,-162.06130981445312,-27.300870895385746,1380.3892822265625
13383,1571.6605882352942,465000,-905500,-165.98117065429688,-27.10783576965332,1370.7276611328125
13384,1441.742631578947,465000,-906000,-167.8175048828125,-26.054000854492188,1360.039306640625
13385,1363.6642857142856,465000,-906500,-168.6797332763672,-25.008230209350582,1347.84130859375
13386,1475.125,465000,-908500,-171.56039428710938,-13.616307258605955,1324.7327880859375
13387,1503.9054054054054,465000,-909000,-172.21096801757812,-11.569433212280272,1330.2005615234375
13388,1512.9220588235294,465000,-909500,-172.7972869873047,-10.182640075683594,1335.8350830078125
13389,1468.269411764706,465000,-910000,-173.21568298339844,-9.090652465820312,1340.1668701171875
13390,1484.516111111111,465000,-910500,-173.99974060058594,-6.039840221405029,1344.2606201171875
13391,1482.040625,465000,-911000,-174.05812072753906,-4.079606056213379,1348.4962158203125
13392,1386.7730769230768,465000,-913000,-166.6663360595703,-0.230447918176651,1360.06982421875
13393,1330.2636842105262,465000,-913500,-164.78021240234375,-0.3382294178009033,1359.1787109375
13394,1273.8258490566038,465000,-914000,-162.62899780273438,0.0622386634349823,1356.85107421875
13395,1272.185714285714,465000,-916500,-141.44679260253906,4.5200700759887695,1340.8526611328125
13396,1283.291,465000,-917000,-137.94320678710938,5.002074241638184,1331.5628662109375
13397,1290.3525,465000,-917500,-133.4386749267578,6.148810386657715,1326.57861328125
13398,1162.841052631579,465000,-925000,-94.13240051269533,21.07938575744629,1383.909423828125
13399,1274.888181818182,465000,-925500,-92.7759017944336,20.430402755737305,1382.6068115234375
13400,1267.6015384615384,465000,-926500,-89.43777465820312,21.50204849243164,1386.6839599609375
13401,1287.4257142857143,465000,-927000,-88.9510498046875,22.124282836914062,1390.9930419921875
13402,1381.7016666666666,465000,-928500,-82.11405944824219,16.64508056640625,1402.109375
13403,1418.1135294117648,465000,-929000,-80.81686401367188,15.331135749816896,1403.99267578125
13404,1420.404705882353,465000,-929500,-79.91478729248047,13.933876991271973,1405.328857421875
13405,1460.41,465000,-930000,-79.1683120727539,12.71733856201172,1405.9976806640625
13406,1442.331111111111,465000,-930500,-79.053466796875,11.80504322052002,1406.0975341796875
13407,1397.2517647058824,465000,-931000,-78.1608657836914,11.273531913757324,1405.4501953125
13408,1392.3453333333334,465000,-931500,-78.08452606201172,10.312771797180176,1403.4229736328125
13409,1376.8966666666668,465000,-940000,-57.94389724731445,5.507507801055908,1387.2646484375
13410,1374.9773684210527,465000,-940500,-54.33382797241211,5.213298320770264,1385.262451171875
13411,1351.33,465000,-941000,-50.52901840209961,5.053577423095703,1383.0921630859375
13412,1728.3291666666669,465000,-952500,-22.61826515197754,29.05235481262207,1462.6051025390625
13413,1665.37325,465000,-953000,-22.12190818786621,29.336713790893555,1471.405029296875
13414,1649.8514285714284,465000,-953500,-21.029191970825195,29.470945358276367,1479.1859130859375
13415,1618.68375,465000,-963500,-16.612733840942383,23.066085815429688,1529.69775390625
13416,1628.0552631578946,465000,-964000,-16.246932983398438,22.150257110595703,1532.30859375
13417,1619.701,465000,-964500,-14.392892837524414,20.749387741088867,1534.0108642578125
13418,715.03125,465000,-971500,-4.129271984100342,7.871035575866699,1582.7452392578125
13419,500.2961111111111,465000,-972000,-3.576512575149536,7.482166767120361,1603.814208984375
13420,552.2552631578948,465000,-972500,-3.233940362930298,7.337536811828613,1614.5390625
13421,526.46,465000,-973000,-3.112970352172852,7.238659858703613,1623.6722412109375
13422,632.7336363636364,465000,-981000,1.1031594276428225,7.316583633422852,1798.2242431640625
13423,628.5305000000001,465000,-981500,1.3742475509643557,9.186426162719728,1795.82080078125
13424,1480.2,465500,-806000,-24.21500015258789,-41.14365768432617,1875.4794921875
13425,1465.3974193548388,465500,-806500,-23.347576141357425,-43.275367736816406,1868.7489013671875
13426,1425.3533333333337,465500,-807000,-21.7880802154541,-46.15631103515625,1858.3289794921875
13427,1873.4883333333332,465500,-811000,-20.90691375732422,-47.098934173583984,1809.854248046875
13428,1818.21,465500,-820500,-31.12521171569824,-54.18426513671875,1768.347900390625
