lon,lat,x,y,s,t,b,b_inferred,source,VX,VY,ERRX,ERRY,xflux,yflux,xflux_err,yflux_err,source_age
152.260645,-81.839712,413355.24929040746,-786013.4628732755,1837.7,1580.38,257.32,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-6.253947096899783,-12.10612549913501,0.4075610050899562,0.5472986100618138,-9883.612912998478,-19132.278616322987,644.101261224065,864.9397773694893,6
152.267141,-81.838105,413347.7801138223,-786215.6245959024,1838.94,1613.4,225.55,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-6.524943536030206,-12.982432343725486,0.41279641380378795,0.5580335138714894,-10527.343901031136,-20945.8563433667,666.0057340310315,900.331271280261,6
152.218548,-81.849626,413428.123512581,-784751.8817307957,1857.69,1282.63,575.06,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-4.870889421453867,-10.491135231079213,0.3362850188893489,0.42980293093148325,-6247.548898639375,-13456.24478143913,431.32925377804565,551.2781333006484,6
152.169069,-81.861076,413522.0213631772,-783289.0449430604,1879.44,1483.87,395.58,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-4.34052915148792,-10.05602834511005,0.3218466567972884,0.39830617356718784,-6440.780992018379,-14921.838780458449,477.5785986217923,591.0345817711429,6
152.119657,-81.872537,413612.233567719,-781826.0692225125,1885.19,1534.98,350.21,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.3373696451632267,-9.950798353985814,0.33307122131318045,0.40302076749838,-5122.79565793265,-15274.276457401145,511.25766329130573,618.6288176946633,6
152.068875,-81.883883,413724.7786381157,-780364.736982443,1888.24,1505.46,382.77,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.0277539679851584,-10.516842237026712,0.31517580043794574,0.37248779398764226,-4558.162488642936,-15832.685314154234,474.4845605273098,560.765474336636,6
152.019258,-81.89534,413813.5432164348,-778901.5474789209,1906.42,1489.89,416.52,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-2.7454971501867727,-10.91014391003212,0.29843251902834556,0.3583501246431022,-4090.488749091771,-16254.914310117758,444.6316257751418,533.9022672045115,6
151.970988,-81.906919,413875.5559567704,-777436.7786550007,1925.93,1535.86,390.06,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-2.172069101727231,-10.612852540065077,0.2910967017979802,0.3798976054863908,-3335.994050578785,-16299.855702184348,447.08378042344583,583.4695363623281,6
151.922828,-81.918511,413933.24519922497,-775972.0167501618,1950.69,1603.52,347.17,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-1.2696935958326407,-10.08578912981923,0.3483704395248764,0.5156677493138038,-2035.979074789556,-16172.76458544773,558.6189671869298,826.8835493796706,6
151.875247,-81.930156,413978.2187572825,-774506.8038738326,1951.44,1701.98,249.46,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-2.5375181828976476,-9.596078439594203,0.5746787053625135,0.9065142115325571,-4318.805196928139,-16332.333582620542,978.0916629528908,1542.8690577441814,6
151.828363,-81.941848,414009.2264423829,-773042.5809761377,1944.78,1798.6,146.18,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-1.2057270170560896,-9.486465208185793,0.8129260501477166,1.2619106841088963,-2168.6206128770827,-17062.356323442968,1462.128793795683,2269.672556438261,6
151.78068,-81.953485,414051.7226286552,-771578.3589045594,1946.2,1645.43,300.78,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-0.21815260246148474,-8.496584314442043,0.4399899427002197,0.6722529491268214,-358.95483666820087,-13980.53472851237,723.9726514172226,1106.1451700817458,6
151.732881,-81.965129,414093.2743618387,-770113.1062239934,1969.77,1666.01,303.76,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-0.6070586679454395,-8.164049599034435,0.35098865247571936,0.4874338681565894,-1011.3658113837816,-13601.388272487358,584.7506049110732,812.0696986875595,6
151.683374,-81.976637,414162.6339000038,-768649.0615429827,1980.95,1696.56,284.39,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-0.9613371802551512,-8.404742493668167,0.3622659912588252,0.4944347103180707,-1630.9662065336793,-14259.149925057663,614.6059901300724,838.838152137226,6
151.631354,-81.987932,414274.47749556624,-767187.778382804,1994.71,1579.47,415.24,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-1.0807139565281334,-7.905860815048141,0.35496527229072566,0.48872784271202757,-1706.955272917491,-12487.069981544088,560.6569986250324,771.9309657283662,6
151.579425,-81.99924,414382.125719373,-765726.3510791286,2008.53,1655.61,352.92,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-1.5850713306058093,-8.233699479887902,0.4357510388437144,0.6468486865028092,-2624.259945664284,-13631.795195897208,721.433777420042,1070.929153860916,6
151.529235,-82.01069,414456.8874102873,-764264.3277939662,2010.67,1790.98,219.69,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.461222550845555,-7.4559919209777155,0.5879883233826506,0.8854155135893007,-6198.980364113372,-13353.53241063267,1053.0753274118597,1585.7614765281658,6
151.478676,-82.022133,414534.6916169212,-762800.7783476078,2008.6,1778.79,229.81,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.787422980209833,-7.875071077230625,0.47455809852810815,0.7239961216527382,-6737.030122967449,-14008.097681467063,844.1392000808135,1287.8370612346741,6
151.427145,-82.0335,414627.1275775772,-761337.9540480981,2016.73,1769.63,247.09,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.1789661878089377,-6.708919889054784,0.3804354099568399,0.5659262728849124,-5625.593934932331,-11872.30590326802,673.2299145219226,1001.4801102853276,6
151.374414,-82.044766,414738.4724488696,-759876.5870875089,2022.47,1834.01,188.45,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.9320326904926888,-7.208059170744987,0.36012331201214653,0.5321011099039009,-7211.387274690496,-13219.652599738012,660.4697554633968,975.8787565748534,6
151.321547,-82.056028,414849.4966211807,-758415.0734679688,2035.88,1853.15,182.73,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.6173681717427946,-7.883969734396816,0.4422050749969392,0.692371974286105,-6703.52582746516,-14610.17851329746,819.4723347305778,1283.0691241482955,6
151.269278,-82.067344,414947.4512946431,-756953.179210491,2036.08,1823.71,212.37,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-2.6810391013461023,-8.08549694760322,0.6919865592527142,1.0883377342777654,-4889.437819515901,-14745.601638313468,1261.9828079747674,1984.8124093797035,6
151.215939,-82.078577,415061.56331845146,-755491.9417078891,2034.72,1632.58,402.14,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-2.805974315904355,-5.83041667861019,0.4111789111614524,0.6525994207475591,-4580.977548659132,-9518.621661165424,671.2824667839639,1065.42076232405,6
151.166747,-82.090167,415099.9533187499,-754027.0744380346,2054.69,1491.05,563.63,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-2.7614559263569314,-5.628346429593894,0.28092511520362945,0.41575582444926656,-4117.468858994503,-8392.145943845975,418.8733930243717,619.9127220450789,6
151.119147,-82.101896,415107.9041620676,-752560.96357531,2072.38,1612.27,460.11,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-2.7272607945842773,-5.262198557715621,0.3243384950847644,0.4678246202168725,-4397.080761284393,-8484.084868648164,522.9212254703132,754.259600437057,6
151.068735,-82.113394,415162.7736853033,-751097.0683493208,2069.31,1572.85,496.46,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.6367024752292485,-4.670440936054919,0.3183864503897519,0.4489155376062192,-5719.987488164324,-7345.903026273979,500.7741284955212,706.0768033239418,6
151.015505,-82.12466,415264.5364380269,-749635.4024150445,2079.98,1499.93,580.04,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.188311905774464,-4.431260215868493,0.3205469984335887,0.43599236204879194,-4782.244676828292,-6646.580135587628,480.7980593604927,653.9580236078446,6
150.966485,-82.136284,415290.01076321,-748170.5650762524,2078.49,1507.03,571.47,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.0906223112476403,-4.341867291822737,0.3306712836159132,0.4439569330714681,-4657.6605417195315,-6543.3242647956195,498.33154454768965,669.0564168466946,6
